Original_Title,Author,ISBN13,Publisher,Published_Date
Gut gegen Nordwind,Daniel Glattauer,9783552060418, Deuticke,2006
Lilac Girls,Martha Hall Kelly,9781101883075, Ballantine Books,2016
Blood Memory,Greg Iles,9780743454155, Pocket Star,2005
"Cerulean Sins (Anita Blake, Vampire Hunter, #11)",Laurell K. Hamilton,9780515136814, Jove,2004
This Is Where I Leave You,Jonathan Tropper,9780525951278, Orion,2009
Kiss of Midnight,Lara Adrian,9780553589375, Dell,2007
Industrial Magic,Kelley Armstrong,9780553590166, Spectra Books,2007
Last Argument of Kings,Joe Abercrombie,9780575077904, Gollancz,2008
The Garden of Evening Mists,Tan Twan Eng,9781905802494, Myrmidon,2011
The Winner's Curse,Marie Rutkoski,9780374384685, Farrar Straus Giroux,2014
Lexicon,Max Barry,9781594205385, Penguin Press,2013
A Storm of Swords: Steel and Snow,George R.R. Martin,9780006479901, HarperVoyager,2001
Double Identity,Margaret Peterson Haddix,9780689873799, Simon & Schuster Books for Young Readers,2007
An Arsonist's Guide to Writers' Homes in New England,Brock Clarke,9781565125513, Algonquin Books,2007
Stitches: A Memoir,David Small,9780393068573, W. W. Norton & Company,2009
Bone Thief,Thomas O'Callaghan,9780786018116, Pinnacle,2006
Napalm & Silly Putty,George Carlin,9780786887583, Hyperion,2002
Winter Garden,Kristin Hannah,9780312364120, St. Martin's Press,2010
Hattie Big Sky,Kirby Larson,9780385733137, Delacorte Books for Young Readers,2006
Empress Orchid,Anchee Min,9780618562039, Mariner Books,2005
Angler: The Cheney Vice Presidency,Barton Gellman,9781594201868," Penguin Press HC, The",2008
Moral Disorder,Margaret Atwood,9781400025046, Seal Books,2007
The Constant Princess,Philippa Gregory,9780743272490, Touchstone,2006
All About Lulu,Jonathan Evison,9781593761967, Soft Skull Press,2008
Every Day,David Levithan,9780307931887, Knopf Books for Young Readers,2012
The Magician King,Lev Grossman,9780434020805, William Heinemann,2011
