ID,Title,Author,ISBN13,Publication,Published_Date,Ratings,Genres,Reviews,Average_Rating,Language
706,Industrial Magic (Women of the Otherworld Series #4),Kelley Armstrong,9780553587074,Random House Publishing Group,2004,"8,936","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Paranormal, Vampires, Romance",395,4.24,English
707,Haunted (Women of the Otherworld Series #5),Kelley Armstrong,9780553587081,Random House Publishing Group,2005,"8,936","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Paranormal, Vampires, Romance",395,4.24,English
708,Nights in Rodanthe,Nicholas Sparks,9780553813951, Warner Books,2016,"132,326","Romance, Fiction, Womens Fiction, Chick Lit, Contemporary, Adult","3,936",3.82,English
709,Thorn Queen (Dark Swan Series #2),Richelle Mead,9781420124521,Kensington,2011,"18,389","Fantasy, Urban Fantasy, Fantasy, Fantasy, Paranormal, Romance, Paranormal Romance, Fairies, Fae, Romance, Adult",774,4.12,English
710,Succubus Heat (Georgina Kincaid Series #4),Richelle Mead,9780758231994,Kensington,2009,"21,935","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Romance, Romance, Paranormal Romance, Paranormal, Demons, Paranormal, Vampires",823,4.19,English
711,Vernon God Little,DBC Pierre,9780571215164, Faber and Faber,2012,"23,752","Fiction, Contemporary","1,138",3.58,English
712,The Fortress of Solitude,Jonathan Lethem,9780571219353, Faber and Faber,2004,"17,474","Fiction, Contemporary, Novels, Literature","1,329",3.87,English
713,Far North,Marcel Theroux,9780571237777, Faber and Faber,2010,"2,774","Fiction, Apocalyptic, Post Apocalyptic, Science Fiction, Science Fiction, Dystopia",397,3.79,English
714,The Hollow Chocolate Bunnies of the Apocalypse,Robert Rankin,9780575074019, Gollancz,2010,"6,669","Fantasy, Fiction, Humor, Mystery, Humor, Comedy",470,3.73,English
715,Before They are Hanged (First Law Series #2),Joe Abercrombie,9780316387354,Orbit,2015,"72,873","Fantasy, Fiction, Fantasy, Epic Fantasy, Adventure, Fantasy, Dark Fantasy, Fantasy, High Fantasy, Dark, Audiobook, Science Fiction Fantasy, Fantasy, Magic","2,395",4.26,English
716,Last Argument of Kings (First Law Series #3),Joe Abercrombie,9780316387408,Orbit,2015,"67,778","Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, Dark Fantasy","2,613",4.26,English
717,The Blade Itself (First Law Series #1),Joe Abercrombie,9780316387316,Orbit,2015,"98,851","Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy","5,097",4.13,English
718,The First Law Trilogy,Joe Abercrombie,9780575092969, Orion Publishing Group,2016,"5,307","Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy, Fantasy, Dark Fantasy, Adventure",158,4.47,English
719,Proxima,Stephen Baxter,9780575116832, Gollancz,2015,"3,361","Science Fiction, Fiction, Science Fiction, Space Opera",360,3.81,English
720,Jack Glass,Adam Roberts,9780575127623, Gollancz,2013,"1,578","Science Fiction, Mystery, Fiction, Mystery, Crime, Fantasy",243,3.72,English
721,The Crippled God (Malazan Book of the Fallen Series #10),Steven Erikson,9780765348876,Tom Doherty Associates,2012,"15,436","Fantasy, Fantasy, Epic Fantasy, Fiction",659,4.43,English
722,Gone Tomorrow (Jack Reacher Series #13),Lee Child,9780440243687,Random House Publishing Group,2010,"53,097","Thriller, Fiction, Mystery, Mystery, Crime","2,233",4.16,English
723,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,9780593061732, Bantam Press,2010,"34,870","Nonfiction, Biology, Evolution, Science, Science, Biology, Religion, Science, Popular Science","1,552",4.16,English
724,I Am Pilgrim,Terry Hayes,9780593064955, Bantam,2014,"63,287","Fiction, Thriller, Mystery Thriller, Thriller, Suspense","6,605",4.22,English
725,Still Alice,Lisa Genova,9780595440092, iUniverse,2014,"234,564","Contemporary, Book Club, Psychology, Adult Fiction, Adult","23,398",4.3,English
726,Genghis Khan and the Making of the Modern World,Jack Weatherford,9780609809648, Broadway Books,2005,"24,235","History, Nonfiction, Biography, Cultural, Asia, Historical, History, World History","1,530",4.0,English
727,The Princess Diaries (Princess Diaries Series #1),Meg Cabot,9780061479939,HarperCollins Publishers,2008,"192,742","Young Adult, Romance, Womens Fiction, Chick Lit, Fiction, Contemporary","4,081",3.76,English
728,Princess in the Spotlight (Princess Diaries Series #2),Meg Cabot,9780061479946,HarperCollins Publishers,2008,"192,742","Young Adult, Romance, Womens Fiction, Chick Lit, Fiction, Contemporary","4,081",3.76,English
729,"Dark Legacy: Book I - Trinity (Dark Legacy Cycle, #1)",Domenico Italo Composto-Hart,9780615398693, Dragon Bone Books,2011,122,"Fantasy, Science Fiction",31,4.25,English
730,The Last Empress: A Novel,Anchee Min,9780547053707,Houghton Mifflin Harcourt,2008,"6,841","Historical Fiction, Cultural, China, Fiction, Historical, Cultural, Asia",470,3.78,English
731,Empress Orchid,Anchee Min,9780618562039, Mariner Books,2005,"18,539","Historical Fiction, Fiction, Cultural, China, Historical, Cultural, Asia","1,122",3.87,English
732,An Unfinished Season: A Novel,Ward Just,9780618568284, Mariner Books,2005,747,"Fiction, Historical Fiction, Novels, Young Adult, Coming Of Age",111,3.45,English
