78,9780061575402,Darklight,Lesley Livingston, HarperTeen,"[u'December', u'22nd', u'2009\n']",9780061961328,Darklight (Wondrous Strange Series #2),Lesley Livingston,HarperCollins Publishers,2009
79,9780061583254,The Happiness Project,Gretchen Rubin, Harper,"[u'December', u'29th', u'2009\n']",9780062414854,"The Happiness Project (Revised Edition): Or, Why I Spent a Year Trying to Sing in the Morning, Clean My Closets, Fight Right, Read Aristotle, and Generally Have More Fun",Gretchen Rubin,HarperCollins Publishers,2015
80,9780061662690,The Summoning,Kelley Armstrong, HarperCollins,"[u'July', u'1st', u'2008\n']",9780061450549,The Summoning (Darkest Powers Series #1),Kelley Armstrong,HarperCollins Publishers,2009
81,9780061668067,Spells,Aprilynne Pike, HarperTeen,"[u'May', u'4th', u'2010\n']",9780061668081,Spells (Laurel Series #2),Aprilynne Pike,HarperCollins Publishers,2011
82,9780061670879,Falling together,Marisa de los Santos, William Morrow,"[u'October', u'4th', u'2011\n']",9780061670886,Falling Together,Marisa de los Santos,HarperCollins Publishers,2012
83,9780061671357,The Secret Circle: The Captive Part II and The Power,L.J. Smith, HarperTeen,"[u'April', u'9th', u'2009\n']",9780061671357,The Captive (Part 2) and The Power (Secret Circle Series #2-3),L. J. Smith,HarperCollins Publishers,2008
84,9780061714306,Sandman Slim,Richard Kadrey, Harper Voyager,"[u'July', u'21st', u'2009\n']",9780061714351,Sandman Slim (Sandman Slim Series #1),Richard Kadrey,HarperCollins Publishers,2012
85,9780061726811,Before I Fall,Lauren Oliver, HarperCollins,"[u'October', u'25th', u'2010\n']",9780062656322,Before I Fall (Movie Tie-in Edition),Lauren Oliver,HarperCollins Publishers,2017
86,9780061726835,Delirium,Lauren Oliver, HarperCollins,"[u'February', u'7th', u'2012\n']",9780061726835,Delirium (Delirium Series #1),Lauren Oliver,HarperCollins Publishers,2012
87,9780061732379,"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe",Gayle Tzemach Lemmon, Harper,"[u'March', u'15th', u'2011\n']",9780061732478,"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe",Gayle Tzemach Lemmon,HarperCollins Publishers,2012
88,9780061779725,Bite Me,Christopher Moore, HarperCollins William Morrow,"[u'March', u'23rd', u'2010\n']",9780061779732,Bite Me,Christopher Moore,HarperCollins Publishers,2011
89,9780061779749,Sacré Bleu: A Comedy d'Art,Christopher Moore, HarperCollins,"[u'April', u'3rd', u'2012\n']",9780061779756,Sacré Bleu: A Comedy d'Art,Christopher Moore,HarperCollins Publishers,2012
90,9780061779787,Secondhand Souls,Christopher Moore, William Morrow,"[u'August', u'25th', u'2015\n']",9780061779794,Secondhand Souls,Christopher Moore,HarperCollins Publishers,2016
91,9780061779848,Desires of the Dead,Kimberly Derting, HarperCollins Children's Books,"[u'February', u'15th', u'2011\n']",9780061779862,Desires of the Dead (Body Finder Series #2),Kimberly Derting,HarperCollins Publishers,2012
92,9780061791123,The Hidden Gallery,Maryrose Wood, Balzer + Bray,"[u'March', u'1st', u'2011\n']",9780062366948,The Hidden Gallery (The Incorrigible Children of Ashton Place Series #2),Maryrose Wood,HarperCollins Publishers,2015
93,9780061797026,The Gathering,Kelley Armstrong, Harper,"[u'April', u'12th', u'2011\n']",9780061797033,The Gathering (Darkness Rising Series #1),Kelley Armstrong,HarperCollins Publishers,2012
94,9780061843402,Labor Day,Joyce Maynard, William Morrow,"[u'July', u'28th', u'2009\n']",9780594607120,Labor Day,Joyce Maynard,HarperCollins Publishers,2010
95,9780061870934,A Conspiracy of Kings,Megan Whalen Turner, Greenwillow Books/HarperCollins Publishers,"[u'March', u'23rd', u'2010\n']",9780062642998,A Conspiracy of Kings,Megan Whalen Turner,HarperCollins Publishers,2017
96,9780061916052,The Financial Lives of the Poets,Jess Walter, Harper Perennial,"[u'September', u'7th', u'2010\n']",9780061916052,The Financial Lives of the Poets,Jess Walter,HarperCollins Publishers,2010
97,9780061922312,Secret Daughter,Shilpi Somaya Gowda, William Morrow,"[u'March', u'15th', u'2010\n']",9780061928352,Secret Daughter: A Novel,Shilpi Somaya Gowda,HarperCollins Publishers,2011
98,9780061928123,Beautiful Ruins,Jess Walter, Harper,"[u'June', u'12th', u'2012\n']",9780061928178,Beautiful Ruins,Jess Walter,HarperCollins Publishers,2013
99,9780061963100,The Husband Hunt,Lynsay Sands, Avon,"[u'February', u'28th', u'2012\n']",9780061963100,The Husband Hunt (Madison Sisters Series #3),Lynsay Sands,HarperCollins Publishers,2012
100,9780061963117,An English Bride in Scotland,Lynsay Sands, Avon,"[u'June', u'25th', u'2013\n']",9780061963117,An English Bride in Scotland,Lynsay Sands,HarperCollins Publishers,2013
101,9780061974557,The Power of Six,Pittacus Lore, HarperCollins,"[u'August', u'23rd', u'2011\n']",9780061974571,The Power of Six (Lorien Legacies Series #2),Pittacus Lore,HarperCollins Publishers,2012
102,9780061978067,Pandemonium,Lauren Oliver, HarperTeen,"[u'February', u'28th', u'2012\n']",9780061978074,Pandemonium (Delirium Series #2),Lauren Oliver,HarperCollins Publishers,2013
103,9780061985843,Paranormalcy,Kiersten White, HarperTeen,"[u'August', u'31st', u'2010\n']",9780061985850,Paranormalcy (Paranormalcy Series #1),Kiersten White,HarperCollins Publishers,2011
104,9780061997952,Cheat the Grave,Vicki Pettersson, HarperCollins e-books,"[u'May', u'25th', u'2010\n']",9780061456770,Cheat the Grave (Signs of the Zodiac Series #5),Vicki Pettersson,HarperCollins Publishers,2010
105,9780062004017,Die for Me,Amy Plum, HarperTeen,"[u'May', u'10th', u'2011\n']",9780062004024,Die for Me (Die for Me Series #1),Amy Plum,HarperCollins Publishers,2012
106,9780062011992,Starcrossed,Josephine Angelini, HarperTeen,"[u'May', u'31st', u'2011\n']",9780062012005,Starcrossed (Starcrossed Trilogy Series #1),Josephine Angelini,HarperCollins Publishers,2012
107,9780062014535,Requiem,Lauren Oliver, HarperCollins Children's Books,"[u'March', u'5th', u'2013\n']",9780062014542,Requiem (Delirium Series #3),Lauren Oliver,HarperCollins Publishers,2014
108,9780062024022,Divergent,Veronica Roth, Katherine Tegen Books,"[u'April', u'25th', u'2011\n']",9780062237422,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,HarperCollins Publishers,2012
109,9780062024022,Divergent,Veronica Roth, Katherine Tegen Books,"[u'April', u'25th', u'2011\n']",9780062285638,Four: The Transfer: A Divergent Story,Veronica Roth,HarperCollins Publishers,2013
110,9780062024022,Divergent,Veronica Roth, Katherine Tegen Books,"[u'April', u'25th', u'2011\n']",9780062387240,Divergent (Divergent Series #1),Veronica Roth,HarperCollins Publishers,2014
111,9780062024022,Divergent,Veronica Roth, Katherine Tegen Books,"[u'April', u'25th', u'2011\n']",9780062421364,Four: A Divergent Collection,Veronica Roth,HarperCollins Publishers,2016
112,9780062024039,Divergent,Veronica Roth, Katherine Tegen Books,"[u'February', u'28th', u'2012\n']",9780062237422,Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,HarperCollins Publishers,2012
113,9780062024039,Divergent,Veronica Roth, Katherine Tegen Books,"[u'February', u'28th', u'2012\n']",9780062285638,Four: The Transfer: A Divergent Story,Veronica Roth,HarperCollins Publishers,2013
114,9780062024039,Divergent,Veronica Roth, Katherine Tegen Books,"[u'February', u'28th', u'2012\n']",9780062387240,Divergent (Divergent Series #1),Veronica Roth,HarperCollins Publishers,2014
115,9780062024039,Divergent,Veronica Roth, Katherine Tegen Books,"[u'February', u'28th', u'2012\n']",9780062421364,Four: A Divergent Collection,Veronica Roth,HarperCollins Publishers,2016
116,9780062024688,Wildwood,Colin Meloy, Balzer + Bray,"[u'August', u'30th', u'2011\n']",9780062024701,Wildwood (The Wildwood Chronicles Series #I),Colin Meloy,HarperCollins Publishers,2012
117,9780062026484,The Girl of Fire and Thorns,Rae Carson, Greenwillow,"[u'September', u'20th', u'2011\n']",9780062026507,The Girl of Fire and Thorns (Girl of Fire and Thorns Series #1),Rae Carson,HarperCollins Publishers,2012
118,9780062041265,The Sisters Brothers,Patrick deWitt, Ecco,"[u'April', u'26th', u'2011\n']",9780062041289,The Sisters Brothers,Patrick deWitt,HarperCollins Publishers,2012
119,9780062049803,State of Wonder,Ann Patchett, HarperCollins Publishers,"[u'June', u'7th', u'2011\n']",9780062049810,State of Wonder,Ann Patchett,HarperCollins Publishers,2012
